City,Metro,County,SizeRank,Price
Huntington,Springfield,Hampshire County,11038,194900
Hinsdale,Pittsfield,Berkshire County,11054,209000
Montague,Greenfield Town,Franklin County,11065,252900
Nahant,Boston-Cambridge-Newton,Essex County,11123,649300
Westhampton,Springfield,Hampshire County,11255,321600
Shelburne,Greenfield Town,Franklin County,11264,259700
Oakham,Worcester,Worcester County,11266,294300
Shutesbury,Greenfield Town,Franklin County,11308,252600
Conway,Greenfield Town,Franklin County,11340,286200
Bernardston,Greenfield Town,Franklin County,11432,223900
Becket,Pittsfield,Berkshire County,11455,215800
Granville,Springfield,Hampden County,11486,269600
Colrain,Greenfield Town,Franklin County,11516,188200
Erving,Greenfield Town,Franklin County,11532,192200
Gill,Greenfield Town,Franklin County,11562,225300
Clarksburg,Pittsfield,Berkshire County,11565,151000
Phillipston,Worcester,Worcester County,11614,239400
Ashfield,Greenfield Town,Franklin County,11629,254400
Chester,Springfield,Hampden County,11711,178200
Fiskdale,Worcester,Worcester County,11738,291800
Truro,Barnstable Town,Barnstable County,11744,742600
Richmond,Pittsfield,Berkshire County,11788,365300
Russell,Springfield,Hampden County,11923,229600
Royalston,Worcester,Worcester County,12016,216800
Pelham,Springfield,Hampshire County,12100,310500
Chesterfield,Springfield,Hampshire County,12174,238700
Petersham,Worcester,Worcester County,12213,270200
West Stockbridge,Pittsfield,Berkshire County,12221,382700
Baldwinville,Worcester,Worcester County,12233,198400
Goshen,Springfield,Hampshire County,12241,247800
Blandford,Springfield,Hampden County,12252,227900
Chilmark,Vineyard Haven,Dukes County,12368,1596700
New Salem,Greenfield Town,Franklin County,12413,225000
White Island Shores,Boston-Cambridge-Newton,Plymouth County,12461,264500
Worthington,Springfield,Hampshire County,12482,243500
Sandisfield,Pittsfield,Berkshire County,12545,251300
Monterey,Pittsfield,Berkshire County,12577,450800
Tolland,Springfield,Hampden County,12661,269200
Charlemont,Greenfield Town,Franklin County,12668,198200
Egremont,Pittsfield,Berkshire County,12669,441400
Aquinnah,Vineyard Haven,Dukes County,12685,1352600
